26,15,30,31,39,'2016-03-03', '02:11:53', '1366', '768', '9', '641', '19', '1IN, '20.0', '77.0\n'
27,17,42,24,28,'2016-03-03', '02:43:54', '1024', '768', '13', '224', '15', '1IN, '20.0', '77.0\n'
30,13,38,25,32,'2016-03-03', '02:46:28', '1438', '808', '90', '208', '13', '3IN, '20.0', '77.0\n'
30,20,44,18,34,'2016-03-03', '02:54:06', '1366', '768', '8', '223', '11', '1IN, '20.0', '77.0\n'
23,26,42,33,34,'2016-03-03', '03:02:23', '1280', '720', '22', '246', '18', '1IN, '28.6667', '77.2167\n'
24,23,41,38,41,'2016-03-03', '03:07:49', '1366', '768', '18', '192', '10', '1IN, '20.0', '77.0\n'
15,16,34,24,30,'2016-03-03', '03:26:45', '1366', '768', '17', '225', '12', '3IN, '12.9833', '77.5833\n'
32,23,35,34,35,'2016-03-03', '03:53:42', '1280', '768', '98', '487', '22', '1IN, '28.6', '77.2\n'
11,23,36,43,28,'2016-03-03', '03:56:43', '1366', '768', '44', '180', '13', '3IN, '12.9833', '77.5833\n'
18,34,29,34,31,'2016-03-03', '04:14:27', '1366', '768', '9', '163', '8', '1IN, '18.975', '72.8258\n'
30,13,32,30,32,'2016-03-03', '04:17:48', '1366', '768', '6', '246', '2288', '1IN, '20.0', '77.0\n'
30,19,40,29,29,'2016-03-03', '04:28:52', '1366', '768', '31', '711', '19', '2IN, '20.0', '77.0\n'
18,19,33,25,30,'2016-03-03', '05:32:21', '1366', '768', '398', '206', '12', '3IN, '13.0833', '80.2833\n'
31,23,33,21,31,'2016-03-03', '06:10:14', '1440', '900', '9', '210', '18', '1IN, '22.5697', '88.3697\n'
30,18,42,41,34,'2016-03-03', '06:11:02', '1366', '768', '7', '224', '14', '2IN, '20.0', '77.0\n'
27,26,41,28,35,'2016-03-03', '06:49:45', '1366', '768', '179', '3986', '26', '1IN, '20.0', '77.0\n'
41,12,42,45,46,'2016-03-03', '09:05:37', '1280', '768', '53', '347', '35', '1IN, '23.2667', '77.4\n'
13,17,32,32,39,'2016-03-03', '09:35:54', '360', '640', '4', '351', '20', '1IN, '20.0', '77.0\n'
30,28,36,27,37,'2016-03-03', '09:47:01', '1440', '900', '24', '777', '13', '1IN, '12.9833', '77.5833\n'
32,16,37,28,34,'2016-03-03', '11:20:38', '480', '853', '28', '205', '30', '1IN, '18.975', '72.8258\n'
23,21,30,27,29,'2016-03-03', '12:24:31', '1366', '768', '6', '541', '14', '1IN, '20.0', '77.0\n'
11,16,34,27,42,'2016-03-03', '13:20:06', '360', '640', '305', '338', '35', '1IN, '18.975', '72.8258\n'
7,27,41,14,34,'2016-03-03', '13:58:41', '360', '640', '106', '553', '18', '1IN, '20.0', '77.0\n'
30,17,34,32,32,'2016-03-03', '20:05:17', '360', '640', '17', '292', '11', '1IN, '12.8639', '74.8353\n'
26,35,38,36,45,'2016-03-03', '20:30:30', '1152', '864', '4', '369', '24', '2IN, '20.0', '77.0\n'
20,13,30,39,32,'2016-03-03', '21:14:58', '1920', '1200', '216', '740', '12', '1IN, '13.0833', '80.2833\n'
33,12,33,24,40,'2016-03-03', '22:41:26', '1280', '800', '42', '136', '6', '1IN, '20.0', '77.0\n'
10,28,25,24,46,'2016-03-03', '23:00:58', '1440', '900', '4', '168', '14', '4IN, '12.9833', '77.5833\n'
23,23,34,29,28,'2016-03-03', '23:54:53', '360', '640', '22', '392', '11', '1IN, '20.0', '77.0\n'
34,26,22,32,44,'2016-03-04', '00:27:28', '962', '601', '1300', '219', '5', '1IN, '28.6', '77.2\n'
37,20,19,32,23,'2016-03-04', '00:46:57', '1366', '768', '46', '631', '55', '5IN, '18.975', '72.8258\n'
30,24,42,36,34,'2016-03-04', '01:16:47', '1024', '768', '50', '302', '16', '1IN, '20.0', '77.0\n'
9,16,23,24,36,'2016-03-04', '01:26:57', '320', '534', '50', '316', '7', '1IN, '28.6667', '77.2167\n'
25,13,31,27,44,'2016-03-04', '02:19:11', '1366', '768', '4', '245', '13', '1IN, '22.5697', '88.3697\n'
31,30,39,29,34,'2016-03-04', '02:45:40', '1024', '768', '13', '309', '26', '1IN, '22.5697', '88.3697\n'
21,13,32,39,34,'2016-03-04', '02:49:25', '0', '0', '9', '474', '30', '2IN, '20.0', '77.0\n'
27,21,31,20,34,'2016-03-04', '02:50:50', '768', '1024', '17', '156', '6', '1IN, '12.9833', '77.5833\n'
9,23,29,26,26,'2016-03-04', '03:01:09', '0', '0', '9', '211', '26', '2IN, '20.0', '77.0\n'
30,10,32,26,22,'2016-03-04', '03:02:28', '1280', '800', '12', '345', '29', '1IN, '20.0', '77.0\n'
21,35,25,42,45,'2016-03-04', '03:07:24', '1600', '900', '6', '194', '18', '1IN, '20.0', '77.0\n'
30,34,22,31,18,'2016-03-04', '03:12:25', '1366', '768', '23', '245', '32', '2IN, '10.9925', '76.9614\n'
22,41,21,20,18,'2016-03-04', '03:17:00', '1366', '768', '6', '56', '6', '1IN, '20.0', '77.0\n'
16,32,31,40,26,'2016-03-04', '03:53:41', '1366', '768', '8', '215', '15', '1IN, '18.975', '72.8258\n'
32,30,35,20,30,'2016-03-04', '04:40:14', '320', '568', '12', '183', '10', '1IN, '20.0', '77.0\n'
18,13,31,32,35,'2016-03-04', '04:49:14', '1600', '900', '4', '277', '27', '1IN, '28.6', '77.2\n'
19,25,35,23,39,'2016-03-04', '05:00:31', '1366', '768', '4', '401', '16', '1IN, '28.6667', '77.2167\n'
10,15,38,22,37,'2016-03-04', '05:12:21', '1440', '900', '4', '232', '14', '1IN, '12.9833', '77.5833\n'
21,8,26,21,33,'2016-03-04', '07:30:25', '1366', '768', '35', '369', '21', '1IN, '13.0833', '80.2833\n'
34,22,25,16,45,'2016-03-04', '07:36:04', '1366', '768', '6', '192', '11', '1IN, '20.0', '77.0\n'
20,13,21,37,44,'2016-03-04', '09:21:41', '320', '534', '16', '349', '16', '1IN, '18.5333', '73.8667\n'
18,18,41,13,33,'2016-03-04', '09:46:24', '1366', '768', '81', '183', '11', '2IN, '18.975', '72.8258\n'
45,6,42,42,35,'2016-03-04', '10:36:00', '360', '640', '13', '269', '16', '2IN, '26.2236', '78.1792\n'
30,8,40,28,39,'2016-03-04', '10:46:03', '360', '640', '4', '453', '18', '2IN, '26.2236', '78.1792\n'
